ods_type_activite|categorie|commune|siret|Nom|numero_inspection|geores|filtre|date_inspection|code_postal|evaluation|adresse|agrement|lat|lon
Autres|Restaurant|Lyon 3e  Arrondissement|89788201500018|COPAIN COMME CANARD|22-088097-1|[45.759174, 4.842967]|Restaurant|2022-11-03T01:00:00+01:00|69003|Très satisfaisant|22 RUE DE LA PART DIEU||45.759174|4.842967
Autres|Restauration collective|Bresles|19601424500019|COLLEGE CONDORCET|22-020049-1|[49.410683, 2.24431]|Restauration collective|2022-03-15T01:00:00+01:00|60510|Satisfaisant|RUE DU PETIT CHANTILLY||49.410683|2.24431
Autres|Restauration collective|Orange|19840763700018|LP|21-110879-1|[44.131962, 4.832898]|Restauration collective|2022-10-03T02:00:00+02:00|84100|Satisfaisant|Rue Henry Dunant||44.131962|4.832898
Autres|Restauration collective|Fontenay-lès-Briis|77565769500489|ASSOCIATION L' ESSOR|22-020123-1|[48.612048, 2.167421]|Restauration collective|2022-03-11T01:00:00+01:00|91640|Satisfaisant|ALLEE DES MARRONNIERS||48.612048|2.167421
Autres|Restaurant|Valenton|82898019300027|ALI BABA|22-015209-1|[48.750018, 2.453986]|Restaurant|2022-03-02T01:00:00+01:00|94460|Satisfaisant|34 RUE DE LA SABLONNIERE||48.750018|2.453986
Autres|Restauration collective|Saint-Jacques-de-la-Lande|33232304701592|KER LANN|22-073535-1|[48.070154, -1.702974]|Restauration collective|2022-09-20T02:00:00+02:00|35136|Très satisfaisant|RUE DES CHAMPS RUFFAUX|35281034|48.070154|-1.702974
Autres|Restaurant|Le Pontet|90086284800026|PASTA PIZZA|22-067817-1|[43.952527, 4.8577770000000005]|Restaurant|2022-08-23T02:00:00+02:00|84130|Très satisfaisant|37 AV LOUIS PASTEUR||43.952527|4.8577770000000005
Autres|Restaurant|Paris 15e  Arrondissement|51208421100030|LE PRESLES|22-069196-1|[48.853051, 2.296659]|Restaurant|2022-09-06T02:00:00+02:00|75015|Satisfaisant|76 B RUE DE LA FEDERATION||48.853051|2.296659
Autres|Restaurant|Paris 18e  Arrondissement|53266497600018|LE REPOS DU CHEF|22-041983-1|[48.89029, 2.354277]|Restaurant|2022-06-07T02:00:00+02:00|75018|Satisfaisant|13 RUE MARCADET||48.89029|2.354277
Autres|Restauration collective|Bordeaux|78184744700088|CAISSE D'ASSURANCE RETRAITE SANTE TRAVAIL|21-109783-1|[44.895799, -0.5557639999999999]|Restauration collective|2022-03-29T02:00:00+02:00|33300|Satisfaisant|80 Avenue de Jallère|33063708|44.895799|-0.5557639999999999
